"project_image_filename","operational_class","split","source_url","source_platform","provenance_status","notes","workbook_sheet","workbook_row","workbook_species","workbook_local_key","url_domain","url_format_valid","inaturalist_photo_id","inaturalist_observation_id","creator","license","exported_file_count","source_instance","match_method","normalized_match_key"
"Acanthurus-chirurgus_12.jpg","Abudefduf saxatilis; Acanthurus chirurgus; unidentifiable","train","","iNaturalist","AMBIGUOUS_MATCH","2 distinct valid URLs share the same normalized local key; no URL was selected. Multiple operational classes occur in retained annotations: Abudefduf saxatilis; Acanthurus chirurgus; unidentifiable.","iNaturalist","","","","","FALSE","","","","","4","","EXACT_LOCAL_KEY","acanthuruschirurgus12"
"Acanthurus-chirurgus_13.jpg","Acanthurus chirurgus","train","","iNaturalist","AMBIGUOUS_MATCH","2 distinct valid URLs share the same normalized local key; no URL was selected.","iNaturalist","","","","","FALSE","","","","","4","","EXACT_LOCAL_KEY","acanthuruschirurgus13"
"Acanthurus-chirurgus_14.png","Acanthurus chirurgus","train","","iNaturalist","AMBIGUOUS_MATCH","2 distinct valid URLs share the same normalized local key; no URL was selected.","iNaturalist","","","","","FALSE","","","","","4","","EXACT_LOCAL_KEY","acanthuruschirurgus14"
"Acanthurus-chirurgus_16.jpeg","Acanthurus chirurgus","train","","iNaturalist","AMBIGUOUS_MATCH","2 distinct valid URLs share the same normalized local key; no URL was selected.","iNaturalist","","","","","FALSE","","","","","4","","EXACT_LOCAL_KEY","acanthuruschirurgus16"
"Acanthurus-chirurgus_17.jpeg","Acanthurus chirurgus","train","","iNaturalist","AMBIGUOUS_MATCH","2 distinct valid URLs share the same normalized local key; no URL was selected.","iNaturalist","","","","","FALSE","","","","","4","","EXACT_LOCAL_KEY","acanthuruschirurgus17"
"Acanthurus-chirurgus_18.jpg","Acanthurus chirurgus","train","","iNaturalist","AMBIGUOUS_MATCH","2 distinct valid URLs share the same normalized local key; no URL was selected.","iNaturalist","","","","","FALSE","","","","","4","","EXACT_LOCAL_KEY","acanthuruschirurgus18"
"Acanthurus-chirurgus_19.jpeg","Acanthurus chirurgus; Lutjanus griseus; Sparisoma aurofrenatum","train","","iNaturalist","AMBIGUOUS_MATCH","2 distinct valid URLs share the same normalized local key; no URL was selected. Multiple operational classes occur in retained annotations: Acanthurus chirurgus; Lutjanus griseus; Sparisoma aurofrenatum.","iNaturalist","","","","","FALSE","","","","","4","","EXACT_LOCAL_KEY","acanthuruschirurgus19"
"Acanthurus-chirurgus_1.jpg","Acanthurus chirurgus","train","","iNaturalist","AMBIGUOUS_MATCH","2 distinct valid URLs share the same normalized local key; no URL was selected.","iNaturalist","","","","","FALSE","","","","","4","","EXACT_LOCAL_KEY","acanthuruschirurgus1"
"Acanthurus-chirurgus_21.jpeg","Acanthurus chirurgus","train","","iNaturalist","AMBIGUOUS_MATCH","2 distinct valid URLs share the same normalized local key; no URL was selected.","iNaturalist","","","","","FALSE","","","","","4","","EXACT_LOCAL_KEY","acanthuruschirurgus21"
"Acanthurus-chirurgus_23.jpg","Acanthurus chirurgus","train","","iNaturalist","AMBIGUOUS_MATCH","2 distinct valid URLs share the same normalized local key; no URL was selected.","iNaturalist","","","","","FALSE","","","","","4","","EXACT_LOCAL_KEY","acanthuruschirurgus23"
